Year,Year_ending,Police_Region,Local_Government_Area,Incidents_Recorded,"Rate_per_100,000_population"
2017,December,4 Western, Macedon Ranges,"1,600","3,304.3"
2017,December,4 Western, Mildura,"4,804","8,712.1"
2017,December,4 Western, Moorabool,"1,737","5,194.1"
2017,December,4 Western, Mount Alexander,767,"3,974.7"
2017,December,4 Western, Moyne,465,"2,769.0"
2017,December,4 Western, Northern Grampians,842,"7,310.9"
2017,December,4 Western, Pyrenees,357,"4,851.9"
2017,December,4 Western, Queenscliffe,126,"4,258.2"
2017,December,4 Western, Southern Grampians,984,"6,103.1"
2017,December,4 Western, Surf Coast,996,"3,177.3"
2017,December,4 Western, Swan Hill,"1,773","8,504.8"
2017,December,4 Western, Warrnambool,"2,650","7,665.8"
2017,December,4 Western, West Wimmera,126,"3,235.7"
2017,December,4 Western, Yarriambiack,355,"5,311.2"
2017,December,4 Western,Total,"62,374","6,354.6"
2017,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,476",
2017,December,Justice Institutions and Immigration Facilities,Total,"1,476",
2017,December,Unincorporated Vic, Unincorporated Vic,119,
2017,December,Unincorporated Vic,Total,119,
2016,December,1 North West Metro, Banyule,"7,482","5,870.7"
2016,December,1 North West Metro, Brimbank,"15,099","7,394.6"
2016,December,1 North West Metro, Darebin,"13,227","8,526.6"
2016,December,1 North West Metro, Hobsons Bay,"5,340","5,714.6"
2016,December,1 North West Metro, Hume,"17,663","8,531.2"
2016,December,1 North West Metro, Maribyrnong,"7,190","8,269.9"
2016,December,1 North West Metro, Melbourne,"28,254","19,339.3"
2016,December,1 North West Metro, Melton,"9,066","6,410.7"
2016,December,1 North West Metro, Moonee Valley,"7,741","6,300.1"
2016,December,1 North West Metro, Moreland,"12,121","7,035.1"
2016,December,1 North West Metro, Nillumbik,"2,264","3,527.9"
2016,December,1 North West Metro, Whittlesea,"13,079","6,316.6"
2016,December,1 North West Metro, Wyndham,"12,370","5,449.1"
2016,December,1 North West Metro, Yarra,"11,293","12,156.9"
2016,December,1 North West Metro,Total,"162,189","7,919.4"
2016,December,2 Eastern, Alpine,267,"2,122.8"
2016,December,2 Eastern, Bass Coast,"2,070","6,185.8"
2016,December,2 Eastern, Baw Baw,"2,921","5,925.4"
2016,December,2 Eastern, Benalla,"1,019","7,287.9"
2016,December,2 Eastern, Boroondara,"7,061","3,983.1"
2016,December,2 Eastern, East Gippsland,"3,096","6,789.5"
2016,December,2 Eastern, Greater Shepparton,"6,329","9,726.1"
2016,December,2 Eastern, Indigo,319,"1,973.4"
2016,December,2 Eastern, Knox,"9,168","5,717.4"
2016,December,2 Eastern, Latrobe,"10,450","14,003.9"
2016,December,2 Eastern, Manningham,"3,961","3,231.6"
2016,December,2 Eastern, Mansfield,481,"5,545.3"
2016,December,2 Eastern, Maroondah,"6,768","5,895.5"
2016,December,2 Eastern, Mitchell,"3,228","7,723.4"
2016,December,2 Eastern, Moira,"1,369","4,642.9"
2016,December,2 Eastern, Monash,"8,962","4,652.6"
2016,December,2 Eastern, Murrindindi,547,"3,892.7"
2016,December,2 Eastern, South Gippsland,"1,139","3,911.1"
2016,December,2 Eastern, Strathbogie,479,"4,624.9"
2016,December,2 Eastern, Towong,176,"2,911.0"
2016,December,2 Eastern, Wangaratta,"1,811","6,333.9"
2016,December,2 Eastern, Wellington,"3,318","7,622.3"
2016,December,2 Eastern, Whitehorse,"6,354","3,745.6"
2016,December,2 Eastern, Wodonga,"2,496","6,224.4"
2016,December,2 Eastern, Yarra Ranges,"6,453","4,157.2"
2016,December,2 Eastern,Total,"90,242","5,452.6"
2016,December,3 Southern Metro, Bayside,"4,207","4,088.0"
2016,December,3 Southern Metro, Cardinia,"5,383","5,516.9"
2016,December,3 Southern Metro, Casey,"18,201","5,818.9"
2016,December,3 Southern Metro, Frankston,"12,487","8,951.1"
2016,December,3 Southern Metro, Glen Eira,"5,675","3,819.4"
2016,December,3 Southern Metro, Greater Dandenong,"15,470","9,655.4"
2016,December,3 Southern Metro, Kingston,"8,656","5,446.0"
2016,December,3 Southern Metro, Mornington Peninsula,"9,116","5,643.6"
2016,December,3 Southern Metro, Port Phillip,"10,487","9,654.1"
2016,December,3 Southern Metro, Stonnington,"9,177","8,267.3"
2016,December,3 Southern Metro,Total,"98,859","6,583.2"
2016,December,4 Western, Ararat,867,"7,381.9"
2016,December,4 Western, Ballarat,"9,475","9,154.6"
2016,December,4 Western, Buloke,169,"2,689.4"
2016,December,4 Western, Campaspe,"2,815","7,487.7"
2016,December,4 Western, Central Goldfields,"1,013","7,740.5"
2016,December,4 Western, Colac-Otway,"1,445","6,764.3"
2016,December,4 Western, Corangamite,733,"4,512.7"
2016,December,4 Western, Gannawarra,491,"4,646.5"
2016,December,4 Western, Glenelg,"1,374","6,953.8"
2016,December,4 Western, Golden Plains,646,"2,934.2"
2016,December,4 Western, Greater Bendigo,"7,933","7,066.2"
2016,December,4 Western, Greater Geelong,"18,628","7,776.9"
2016,December,4 Western, Hepburn,729,"4,695.7"
2016,December,4 Western, Hindmarsh,235,"4,062.9"
2016,December,4 Western, Horsham,"1,880","9,454.8"
2016,December,4 Western, Loddon,382,"5,054.2"
2016,December,4 Western, Macedon Ranges,"1,646","3,466.7"
2016,December,4 Western, Mildura,"5,091","9,314.3"
2016,December,4 Western, Moorabool,"2,005","6,136.8"
2016,December,4 Western, Mount Alexander,951,"4,979.8"
2016,December,4 Western, Moyne,491,"2,933.6"
2016,December,4 Western, Northern Grampians,936,"8,089.9"
2016,December,4 Western, Pyrenees,391,"5,344.5"
2016,December,4 Western, Queenscliffe,124,"4,233.5"
2016,December,4 Western, Southern Grampians,987,"6,121.7"
2016,December,4 Western, Surf Coast,"1,093","3,587.7"
2016,December,4 Western, Swan Hill,"1,735","8,303.0"
2016,December,4 Western, Warrnambool,"2,492","7,277.6"
2016,December,4 Western, West Wimmera,108,"2,743.2"
2016,December,4 Western, Yarriambiack,330,"4,894.0"
2016,December,4 Western,Total,"67,195","6,944.7"
2016,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,016",
2016,December,Justice Institutions and Immigration Facilities,Total,"1,016",
2016,December,Unincorporated Vic, Unincorporated Vic,121,
2016,December,Unincorporated Vic,Total,121,
2015,December,1 North West Metro, Banyule,"6,857","5,438.3"
2015,December,1 North West Metro, Brimbank,"14,821","7,378.8"
2015,December,1 North West Metro, Darebin,"11,474","7,550.0"
2015,December,1 North West Metro, Hobsons Bay,"5,358","5,844.6"
2015,December,1 North West Metro, Hume,"14,882","7,509.5"
2015,December,1 North West Metro, Maribyrnong,"6,909","8,149.0"
2015,December,1 North West Metro, Melbourne,"24,848","18,154.2"
2015,December,1 North West Metro, Melton,"8,376","6,208.4"
2015,December,1 North West Metro, Moonee Valley,"6,957","5,786.4"
2015,December,1 North West Metro, Moreland,"11,167","6,652.2"
2015,December,1 North West Metro, Nillumbik,"1,941","3,048.3"
2015,December,1 North West Metro, Whittlesea,"10,378","5,272.1"
2015,December,1 North West Metro, Wyndham,"11,322","5,295.2"
2015,December,1 North West Metro, Yarra,"10,051","11,177.3"
2015,December,1 North West Metro,Total,"145,341","7,349.0"
2015,December,2 Eastern, Alpine,357,"2,872.3"
2015,December,2 Eastern, Bass Coast,"1,929","5,921.5"
2015,December,2 Eastern, Baw Baw,"2,490","5,205.2"
2015,December,2 Eastern, Benalla,810,"5,817.7"
2015,December,2 Eastern, Boroondara,"5,897","3,374.5"
2015,December,2 Eastern, East Gippsland,"3,147","7,013.9"
2015,December,2 Eastern, Greater Shepparton,"5,498","8,525.5"
2015,December,2 Eastern, Indigo,380,"2,386.6"
2015,December,2 Eastern, Knox,"7,355","4,634.5"
2015,December,2 Eastern, Latrobe,"9,019","12,144.2"
2015,December,2 Eastern, Manningham,"3,354","2,776.8"
2015,December,2 Eastern, Mansfield,339,"3,974.2"
2015,December,2 Eastern, Maroondah,"5,792","5,124.6"
2015,December,2 Eastern, Mitchell,"2,656","6,596.5"
2015,December,2 Eastern, Moira,"1,104","3,769.5"
2015,December,2 Eastern, Monash,"7,525","3,977.8"
